Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
57,0.0,0.0,1.0,900.0,900.0,7.0,450.0,0.5,,,0.0,70.53751015663147,,,,,,,,,,,,,,,,,,,,,3.6238858552544677,1.8101715291999456,6.336389058616797,0.9066655467168806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0,0.0,1.0,912.0,912.0,6.0,456.0,0.5,,,0.0,71.51178097724915,,,,,,,,,,,,,,,,,,,,,2.918691068972168,1.421520131236908,4.997474844700134,0.835777196234633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0,0.0,1.0,932.0,932.0,10.0,466.0,0.5,,,0.0,72.69414782524109,,,,,,,,,,,,,,,,,,,,,5.295533112011732,2.7585819073645084,9.610585564933347,0.9662563129072801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,0.0,1.0,948.0,948.0,8.0,474.0,0.5,,,0.0,73.71586894989014,,,,,,,,,,,,,,,,,,,,,3.7349661133138454,1.8993509743122396,6.635546811010774,0.8322908326316206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0,0.0,1.0,956.0,956.0,4.0,478.0,0.5,,,0.0,74.81157970428467,,,,,,,,,,,,,,,,,,,,,2.0779310887094353,0.9276208738651976,3.3217255361018054,0.832631645973992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0,0.0,1.0,964.0,964.0,4.0,482.0,0.5,,,0.0,75.72119545936584,,,,,,,,,,,,,,,,,,,,,2.161466708648489,0.9666268363894321,3.458266907431948,0.8645689632216097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0,0.0,1.0,974.0,974.0,5.0,487.0,0.5,,,0.0,76.68454074859619,,,,,,,,,,,,,,,,,,,,,2.8362378186330277,1.3323198314974152,4.718171004435617,0.9496081389760365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0,0.0,1.0,990.0,990.0,8.0,495.0,0.5,,,0.0,77.7602744102478,,,,,,,,,,,,,,,,,,,,,4.096404036781699,2.0780518177163656,7.264792264137388,0.9154359469572209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,0.0,1.0,1002.0,1002.0,6.0,501.0,0.5,,,0.0,78.78380537033081,,,,,,,,,,,,,,,,,,,,,3.041801421479589,1.4834313033971873,5.212125315246648,0.869273567406472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0,0.0,1.0,1012.0,1012.0,5.0,506.0,0.5,,,0.0,79.90354490280151,,,,,,,,,,,,,,,,,,,,,2.7075995896989076,1.2757255039336723,4.511250117799321,0.9029327016181982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,0.0,1.0,1022.0,1022.0,5.0,511.0,0.5,,,0.0,81.00534462928772,,,,,,,,,,,,,,,,,,,,,2.4349935412867216,1.1463683988225128,4.055455378842291,0.8130246948763651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
